Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Aachen,Measurement,"Best Supporting Software, Overgrad; Safety Commendation, Overgrad; Best Measurement Project",G,15,4,0,0,0,,6.5,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Aberdeen_Scotland,Health & Medicine,"Best Health & Medicine Project, Overgrad; Best Innovation in Measurement, Overgrad",G,5,,0,2,0,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
AHUT_China,Information Processing,,S,17,,0,0.5,0,,,,,0.5,,,,,6.5,0.5,,,5,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Aix-Marseille,Foundational Advance,,G,6,1,0,0,0,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
AMU-Poznan,Software,,G,6,,0,0,0,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona_State,Energy,,B,4,,0,0,0,,1.5,,,,,,2,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
ArtCenter_MDP,Art & Design,Best Art&Design Project,N,8,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,
ATOMS-Turkiye,Health & Medicine,,G,18,,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland_New_Zealand,Health & Medicine,,N,6,1,0,1,0,,2.5,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin_Texas,Measurement,,G,5,,0,1,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
