Medals,Diversity
G,0.60210620702
G,1.36096890002
S,1.8955291638
B,1.71414788244
B,1.55616385737
G,0.883578505872
S,1.55570430216
G,2.03161272926
G,0.776276494337
G,0.330578512397
B,0.900418573071
G,0.504870076606
G,0.401609274271
B,1.17751530904
G,2.08703388129
S,1.11702800731
S,0.85648777995
G,0.529183821275
G,0.576888204074
S,1.34599799794
B,0.409243776678
G,1.25005651978
S,1.30960065447
S,1.28855518015
G,0.450964677802
N,0.868578423931
G,1.32652112348
G,1.41736542881
G,1.5180998293
G,1.53785879557
G,1.40926818605
S,0
G,1.06988926969
S,1.15028510994
S,1.15650656969
B,0.71957181341
G,0.640421367704
B,1.98770807408
B,0
N,1.61415907978
G,1.63581287568
G,1.09706094555
S,0.309227883204
G,1.41621905202
N,1.59429363384
B,0
B,0.99590396164
N,0.441496074547
G,1.52512933067
S,1.18197037762
G,1.5269771428
B,0
N,0.841450127677
G,1.4357709169
B,1.6351464639
B,1.91735224835
G,1.0857298003
G,0.864866841354
N,0.174020436531
N,1.27125286044
B,1.59673617212
N,1.25121568782
B,1.60675524728
S,0.7155417528
G,1.11447002483
B,0.879491220632
S,0.812545068457
G,0.296621262321
B,0.25
G,1.22347032938
G,1.15932292018
S,0.664078308635
G,1.43483026404
S,0.62112999375
B,1.83145338921
S,1.66086307861
S,1.59532327756
G,0.837052880239
B,1.70239943733
B,1.31221666392
G,1.5445053299
N,0.790569415042
S,1.54882182763
B,0.519507022913
G,0.705554834305
N,1.50484424254
B,1.29188921067
S,1.80364710048
B,2.2721496701
G,1.46041298624
G,0.519832787428
G,1.13414530783
S,0.949233463033
G,1.41475179279
G,1.56887752654
S,1.09266742118
G,0.382378566187
B,0.228268823564
G,1.57369063103
G,1.50003905334
S,1.12044218505
S,1.5824192589
B,0.305555555556
S,0.985280328953
G,1.37592030095
G,1.34512786926
G,0.794111807791
S,1.50897090763
G,0.897567660079
G,1.29689563079
G,1.17740542815
B,1.14565712929
G,1.31356393516
B,1.82798198294
S,0.750658774214
G,1.80133980138
N,1.4017495903
S,0
N,0.757948446775
G,1.39356199062
G,1.24974298316
G,1.93827070862
N,1.88513160507
G,1.68505008417
G,1.1026420487
B,1.85869830441
B,1.18126627897
G,1.93449013124
N,0.862946081772
B,1.21547336836
N,0.810143234087
S,1.70423563841
S,1.25084475534
N,1.37006515718
G,1.89771571333
G,0.273804242143
G,0.94147115153
G,1.49627878055
S,0
G,1.90119641567
N,1.79805835128
G,0.763603548321
G,1.89750606331
S,1.4189427698
B,1.50087409891
G,0.847003095876
B,1.01096273475
G,1.40224195125
G,0.742146919691
G,0
S,0.51335781969
S,1.70287812028
G,0.897997772826
