Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive sciences,Philosophy
Aachen,,"WON-Best Manufacturing Project, Overgrad, Nom-Best Software Tool, Overgrad",G,17,11.5,0,0,0,,3.5,0,1,0,,0,0,0,0,0.5,0,0,0,0.5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Aalto-Helsinki,,NA,G,10,3,1,0,0,,3.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0.5,0,,0,0,,,0,0,,0,,0,,0,0,,,0
AHUT_China,,NA,S,8,0,0,0,0,,0,0,0,1,,0,0,0,0,0,0,0,3,2,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,1,0,,,0
Aix-Marseille,,NA,B,12,3,2,1,0,,1,0,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
ANU-Canberra,,NA,B,8,0,0,0,0,,3,0,2,1,,0,0,0,0,0,1,0,0,0,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BABS_UNSW_Autralia,,NA,G,5,2,0,1,0,,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Berlin,,NA,S,10,3,1,2,0,,0,1,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BGU_Israel,,"First Runner Up, Overgrad Best New Basic Part, Overgrad, Nom-Best Part Collection, Overgrad",G,6,1,0,2,0,,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.5,,0,0,,,0.5,0,,0,,0,,0,0,,,0
Bielefeld-CeBiTec,,"Best Environment Project, Overgrad, Nom-Best Model, Overgrad, Nom-Best Applied Design, Overgrad, Security Commendation, Best Integrated Human Practices Overgrad, Nom-Best Wiki, Best Presentation, Overgrad, Nom-Best New Basic Part, Overgrad, Best New Composit Part overgrad",G,11,5,0,0,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BIONSINT_Mexico,,NA,G,11,0,0,0,0,,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Birkbeck,,NA,B,7,0,0,1,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BostonU,,Nom-Best Foundational Advance Project,G,7,0,0,0,0,,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Brasil-USP,,,G,21,1,0,0,0,,18,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
