Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive sciences,Philosophy
Aachen,,"WON-Best Manufacturing Project, Overgrad, Nom-Best Software Tool, Overgrad",1,17,11.5,0,0,0,,3.5,0,1,0,,0,0,0,0,0.5,0,0,0,0.5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Aalto-Helsinki,,NA,1,10,3,1,0,0,,3.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0.5,0,,0,0,,,0,0,,0,,0,,0,0,,,0
AHUT_China,,NA,2,8,0,0,0,0,,0,0,0,1,,0,0,0,0,0,0,0,3,2,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,1,0,,,0
Aix-Marseille,,NA,3,12,3,2,1,0,,1,0,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
ANU-Canberra,,NA,3,8,0,0,0,0,,3,0,2,1,,0,0,0,0,0,1,0,0,0,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BABS_UNSW_Autralia,,NA,1,5,2,0,1,0,,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Berlin,,NA,2,10,3,1,2,0,,0,1,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BGU_Israel,,"First Runner Up, Overgrad Best New Basic Part, Overgrad, Nom-Best Part Collection, Overgrad",1,6,1,0,2,0,,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.5,,0,0,,,0.5,0,,0,,0,,0,0,,,0
Bielefeld-CeBiTec,,"Best Environment Project, Overgrad, Nom-Best Model, Overgrad, Nom-Best Applied Design, Overgrad, Security Commendation, Best Integrated Human Practices Overgrad, Nom-Best Wiki, Best Presentation, Overgrad, Nom-Best New Basic Part, Overgrad, Best New Composit Part overgrad",1,11,5,0,0,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BIONSINT_Mexico,,NA,1,11,0,0,0,0,,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Birkbeck,,NA,3,7,0,0,1,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
BostonU,,Nom-Best Foundational Advance Project,1,7,0,0,0,0,,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Brasil-USP,,,1,21,1,0,0,0,,18,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Cairo_Egypt,,,3,11,1,0,7,0,,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Carnegie_Mellon,,,1,10.9,0,2,0,0,,0.8,0,0,0,,0,0.5,0,0,0.5,2.3,0,1,1.5,1.3,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
CGU_Taiwan,,,2,18,4,0,10,0,,0,0,0,0,,0,1,0,0,1,0,0,0,1,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Chalmers-Gothenburg,,,2,14,10,0,0,0,,0,0,0,0,,0,2,0,0,0,0,0,0,1,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
CHINA-CD_UESTC,,,1,11,10,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
CyityU_HK,,,1,10,0,0,0,0,,8,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Columbia_NYC,,,2,5,0,0,0,0,,2,0,0,2,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Concordia,,,3,8,0,0,0,0,,7,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Cork_Ireland,,,1,7,0,0,4,0,,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
CSU_Fort_Collins,,,2,10,0,0,1,0,,3,0,0,2,,1,3,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
CU_Boulder,,,2,6,0,0,0.5,0,,2.5,0,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Czech_Republic,,,1,8,0,0,1,0,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Dalhouise_Halifax_NS,,,4,7,0,0,0,1,,5,0,0.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,0,,0,0,,,0,0,,0,,0,,0,0,,,0
DTU-Denmark,,,1,10,4,1,0,0,,1,3,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
dundee,,,1,8,0,2,1,0,,3,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Edinburgh,,"Nom-Best Health and Medicine Project, Undergrad, Best Integrated Human Practices, Undergrad",1,9,0,0,0,0,,4,0,2,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,1
ETH_Zurich,,"Nom-Best Health and Medicine Project, Overgrad, Best Model, Overgrad, Nom-Best Wiki Overgrad, Nom-Best Poster, Overgrad, Nom-Best New Basic Part, Overgrad, Best Part Collection, Overgrad",1,6,1,1,0,0,,2,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Exeter,,,1,11,0,0,2,0,,5,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,,0,0,,,0,0,,0,,0,,0,0,,,0
FAU_Erlangen,,,2,7,0,0,0,0,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Freiburg,,"Nom-Best Health and Medicine Project, Overgrad, Nom-Best Innovation in Medicine, Overgrad, Nom-Best Wiki, Overgrad",1,16,0,1,2,0,,9.5,0,2,0,,0,0,0,0,0,0,0,0,0.5,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Fudan,,,2,13,0,0,0,0,,9,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,1,,0,0,,,0,0,,0,,0,,0,0,,,1
Georgia_State,,,2,6,0,0,0,0,,2,0,0,1,,0,2,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
GeorgiaTech,,,3,8,0,0,1,0,,6,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Glasgow,,,1,10,0,0,0,0,,8,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Groningen,,,3,9,0,0,2,0,,2.5,0,1.5,0,,0,0,0,0,0,1,0,0,1,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Hamburg,,,3,10,0,0,0,0,,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Hamilton_McMaster,,,4,14,0,0,6,0,,4,0,0,3,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Harvard_BioDesign,,Nom-Best Foundational Advance Project,1,5,0,0,1,0,,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
